n,Hour,Avg_Passengers
14776615,15,1.716158146
14776616,0,1.767464576
14776617,18,1.701293462
14776618,23,1.754040658
14776619,11,1.673684803
14776620,12,1.681156735
14776621,13,1.688445186
14776622,9,1.628029857
14776623,7,1.595713523
14776624,14,1.695371302
14776625,22,1.744152748
14776626,17,1.704251353
14776627,6,1.554378939
14776628,21,1.723739472
14776629,8,1.626166448
14776630,19,1.707495925
14776631,3,1.77499066
14776632,4,1.74987265
14776633,20,1.709830035
14776634,1,1.765099099
14776635,10,1.659825044
14776636,2,1.771530096
14776637,16,1.718623444
14776638,5,1.620607966
