n,Day,Avg_Passengers
24,1,1.835373095
25,6,1.749759084
26,5,1.78125554
27,7,1.642390202
28,8,1.643879958
29,10,1.652584594
30,2,1.713977827
31,13,1.746568115
32,14,1.647118224
33,15,1.650448079
34,16,1.655438793
35,12,1.761188265
36,3,1.695813776
37,4,1.70751217
38,18,1.693931224
39,19,1.784230114
40,17,1.658334195
41,20,1.770860679
42,9,1.64975922
43,11,1.68538813
44,21,1.692899894
45,24,1.69231332
46,25,1.687809482
47,23,1.661346346
48,22,1.64997127
49,27,1.74901292
50,26,1.769351565
51,28,1.646714982
52,31,1.661869
53,29,1.650481796
54,30,1.645680359
