n,Day,Avg_Passengers
55,13,1.753393665
56,19,1.675298805
57,14,1.612440191
58,15,1.651252408
59,1,1.96836983
60,16,1.754032258
61,2,1.698254364
62,20,1.893478261
63,17,1.567251462
64,5,1.790356394
65,3,1.641552511
66,4,1.737843552
67,6,1.785529716
68,18,1.695810565
69,9,1.699134199
70,7,1.690531178
71,8,1.644646925
72,10,1.571129707
73,11,1.674199623
74,12,1.725099602
75,22,1.589494163
76,21,1.637279597
77,24,1.730769231
78,23,1.571705426
79,26,1.894934334
80,25,1.71978022
81,27,1.834728033
82,28,1.583892617
83,31,1.683397683
84,29,1.614107884
85,30,1.613360324
