n,Day,Avg_Passengers
117,13,1.741648107
118,19,1.689243028
119,14,1.622911695
120,15,1.650579151
121,1,1.96593674
122,16,1.752535497
123,2,1.700251889
124,20,1.89055794
125,17,1.563953488
126,5,1.784968685
127,3,1.63800905
128,4,1.736616702
129,6,1.797953964
130,18,1.691176471
131,7,1.690531178
132,9,1.69047619
133,8,1.640909091
134,10,1.582278481
135,11,1.676691729
136,12,1.720321932
137,22,1.578125
138,21,1.64213198
139,24,1.725
140,23,1.583011583
141,26,1.882462687
142,25,1.719038817
143,27,1.847107438
144,28,1.585201794
145,31,1.683397683
146,29,1.604989605
147,30,1.623481781
